이름,노선,위도,경도
당곡,수도권 경량도시철도 신림선,37.490039105,126.927568759
신림,수도권 경량도시철도 신림선,37.484890755,126.92960992
서원,수도권 경량도시철도 신림선,37.47827336,126.933228219
서울대벤처타운,수도권 경량도시철도 신림선,37.47204068,126.933976556
관악산,수도권 경량도시철도 신림선,37.46916896,126.944954837
시청,1호선,37.565211,126.977207
서울역,1호선,37.55585,126.972103
시청,2호선,37.563534,126.975271
을지로입구,2호선,37.565998,126.982569
을지로3가,2호선,37.566292,126.990873
을지로4가,2호선,37.566611,126.997622
동대문역사문화공원(DDP),2호선,37.565609,127.009083
신당,2호선,37.565675,127.0194259
낙성대(강감찬),2호선,37.47713,126.963583
서울대입구(관악구청),2호선,37.481233,126.952745
봉천,2호선,37.482416,126.941696
신림,2호선,37.484216,126.929573
을지로3가,3호선,37.566299,126.992616
충무로,3호선,37.561382,126.994173
동대입구,3호선,37.55906,127.005273
약수,3호선,37.554554,127.010858
동대문역사문화공원(DDP),4호선,37.565141,127.007808
충무로,4호선,37.561352,126.994573
명동,4호선,37.560955,126.986271
회현(남대문시장),4호선,37.558698,126.978346
을지로4가,5호선,37.56728,126.998127
동대문역사문화공원(DDP),5호선,37.564682,127.00533
청구,5호선,37.560237,127.01379
버티고개,6호선,37.547933,127.006948
약수,6호선,37.554087,127.010237
청구,6호선,37.560221,127.013776
신당,6호선,37.566174,127.016158
